국가,유적,공부말단,전체길이,모신부길이,모신부 최대폭,공부길이,공부직경
신라,경주 월성로,연미형,29,9,3.3,9,3.1
신라,경주 월성로,직기형,24,9,2.1,9,2.8
신라,경주 월성로,연미형,25,11,3.6,6,2.8
신라,경주 월성로,연미형,24,8,2.4,5,2.9
신라,경주 월성로,연미형,28,13,2.4,9,2.1
신라,경주 월성로,연미형,24,8,1.8,8,2.9
신라,경주 월성로,직기형,28,11,2.7,10,2.9
신라,경주 월성로,연미형,30,14,3,11,3.6
신라,경주 월성로,연미형,35,14,3,10,3.2
신라,경주 월성로,직기형,44,20,3.6,21,3
신라,경주 월성로,연미형,31,11,3,10,3
신라,경주 월성로,연미형,27,9,2.4,6,2.1
신라,경주 월성로,연미형,32,11,2.4,11,3.3
신라,경주 월성로,연미형,36,15,4.2,7,3.3
신라,경주 월성로,연미형,34,16,4.2,4,4
신라,경주 조양동,직기형,20,10,3.5,9,2.8
신라,경주 조양동,직기형,32,20,4.7,12,2.9
신라,경주 조양동,직기형,30,12,5,8,2.8
신라,경주 조양동,직기형,33,18,5.7,15,3.2
신라,경주 조양동,직기형,37,27,5.1,11,3
신라,경주 조양동,직기형,37,26,5.2,11,2.8
신라,경주 조양동,직기형,37,24,4.8,13,2.8
신라,경주 조양동,직기형,39,27,5.5,12,2.6
신라,경주 조양동,직기형,46,32,5.2,14,2.9
신라,경주 조양동,직기형,15,8,3,5,2.4
신라,경주 조양동,직기형,23,11,3.7,12,3
신라,경주 조양동,직기형,33,18,3.5,12,3.1
신라,경주 조양동,직기형,26,14,3.5,12,2.5
신라,경주 조양동,직기형,26,14,3.5,12,3.2
신라,경주 조양동,직기형,33,20,3.8,13,3
신라,경주 조양동,직기형,24,14,3.8,10,2.9
신라,경주 조양동,직기형,24,12,4,12,3.3
신라,경주 조양동,직기형,27,12,3.9,12,2.7
신라,경주 조양동,직기형,31,19,3.5,19,3.3
신라,경주 조양동,직기형,29,16,4.4,13,4.2
신라,경주 조양동,직기형,23,14,3.6,8,3.5
신라,경주 조양동,직기형,27,14,4.1,13,3.3
신라,경주 조양동,직기형,38,17,4.1,20,3.3
신라,경주 조양동,직기형,33,19,3.7,14,3.2
신라,경주 조양동,직기형,28,15,3.6,13,2.7
신라,경주 조양동,직기형,27,15,3.2,12,3.5
신라,경주 조양동,직기형,30,18,4.3,12,3.3
신라,경주 조양동,직기형,60,42,5.7,7,3.2
신라,경주 조양동,직기형,39,23,5,9,3.2
신라,경주 조양동,직기형,37,22,4.5,7,3.4
신라,경주 조양동,직기형,36,22,4.3,8,3.1
신라,경주 조양동,직기형,35,20,4.6,7,3.6
신라,경주 조양동,직기형,33,20,4.5,6,3.6
신라,경주 조양동,직기형,32,19,4.2,15,3.7
신라,경주 조양동,직기형,31,21,4.5,11,3.1
신라,경주 조양동,직기형,30,17,3.9,14,3.2
신라,경주 조양동,직기형,42,18,5,16,3.6
신라,경주 조양동,직기형,40,17,4.3,16,3.5
